VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,total_amount,trip_duration,average_speed,short_trip_flag,pickup_hour,pickup_day_of_week,is_weekend,tip_percentage,trip_distance_category
1,2019-05-01 00:14:50,2019-05-01 00:16:48,1,0.0,145,145,3.0,4.3,1.9666666666666666,0.0,1,0,2,0,43.33333333333333,short
1,2019-05-01 00:35:54,2019-05-01 00:37:27,1,1.5,145,145,3.0,4.3,1.55,58.064516129032256,0,0,2,0,43.33333333333333,medium
1,2019-05-01 00:37:45,2019-05-01 00:37:49,1,1.5,145,145,2.5,3.8,0.06666666666666667,1350.0,0,0,2,0,51.99999999999999,medium
1,2019-05-01 00:44:57,2019-05-01 00:50:11,1,0.7,161,161,5.0,8.8,5.233333333333333,8.025477707006369,1,0,2,0,76.00000000000001,short
1,2019-05-01 00:59:48,2019-05-01 01:10:22,1,2.0,163,141,9.5,15.3,10.566666666666666,11.35646687697161,0,0,2,0,61.052631578947384,medium
2,2019-05-01 00:48:04,2019-05-01 00:49:00,1,0.0,193,193,2.5,3.8,0.9333333333333333,0.0,1,0,2,0,51.99999999999999,short
2,2019-05-01 00:05:26,2019-05-01 00:05:34,1,0.0,193,193,2.5,3.8,0.13333333333333333,0.0,1,0,2,0,51.99999999999999,short
1,2019-05-01 00:23:20,2019-05-01 00:32:57,1,2.5,260,56,10.0,11.3,9.616666666666667,15.597920277296359,0,0,2,0,13.000000000000005,medium
1,2019-05-01 00:35:54,2019-05-01 00:47:49,1,2.8,56,226,11.5,12.8,11.916666666666666,14.097902097902098,0,0,2,0,11.304347826086962,medium
1,2019-05-01 00:20:12,2019-05-01 00:26:52,1,2.0,79,164,8.0,14.15,6.666666666666667,18.0,0,0,2,0,76.875,medium
1,2019-05-01 00:34:34,2019-05-01 00:48:27,1,3.7,90,238,13.5,20.75,13.883333333333333,15.990396158463385,0,0,2,0,53.70370370370371,medium
2,2019-04-30 20:55:04,2019-04-30 21:15:19,1,2.09,162,230,13.0,16.8,20.25,6.192592592592592,0,20,1,0,29.230769230769237,medium
1,2019-05-01 00:07:15,2019-05-01 00:19:41,1,2.5,50,170,11.0,17.75,12.433333333333334,12.064343163538874,0,0,2,0,61.36363636363637,medium
1,2019-05-01 00:16:48,2019-05-01 00:27:37,1,2.5,230,141,10.0,16.55,10.816666666666666,13.86748844375963,0,0,2,0,65.5,medium
1,2019-05-01 00:42:15,2019-05-01 00:47:48,1,1.7,162,107,7.0,12.96,5.55,18.37837837837838,0,0,2,0,85.14285714285715,medium
2,2019-05-01 00:14:25,2019-05-01 00:23:22,1,1.28,116,42,8.0,11.3,8.95,8.58100558659218,0,0,2,0,41.25000000000001,medium
2,2019-05-01 00:51:50,2019-05-01 00:57:35,1,1.49,238,166,7.0,9.96,5.75,15.54782608695652,0,0,2,0,42.2857142857143,medium
1,2019-05-01 00:05:30,2019-05-01 00:21:08,1,4.7,249,43,16.5,24.35,15.633333333333333,18.038379530916846,0,0,2,0,47.575757575757585,medium
1,2019-05-01 00:40:34,2019-05-01 00:48:08,1,2.0,142,236,8.5,13.8,7.566666666666666,15.859030837004404,0,0,2,0,62.3529411764706,medium
1,2019-05-01 00:01:12,2019-05-01 00:28:54,2,11.5,138,190,34.0,42.36,27.7,24.90974729241877,0,0,2,0,24.588235294117645,long
1,2019-05-01 00:41:43,2019-05-01 00:48:40,2,1.3,181,49,7.0,10.35,6.95,11.223021582733814,0,0,2,0,47.857142857142854,medium
2,2019-05-01 00:18:04,2019-05-01 00:23:26,1,1.05,238,24,6.0,8.76,5.366666666666666,11.73913043478261,0,0,2,0,46.0,medium
2,2019-05-01 00:12:27,2019-05-01 00:56:50,1,18.83,132,48,52.0,66.36,44.38333333333333,25.45550131430717,0,0,2,0,27.615384615384613,long
2,2019-05-01 00:17:54,2019-05-01 22:54:26,2,18.18,132,230,52.0,61.42,1356.5333333333333,0.8041085118930608,0,0,2,0,18.11538461538462,long
1,2019-05-01 00:28:27,2019-05-01 00:34:23,1,1.5,162,137,6.5,12.35,5.933333333333334,15.168539325842698,0,0,2,0,89.99999999999999,medium
1,2019-05-01 00:02:25,2019-05-01 00:18:42,0,7.9,138,233,24.0,39.01,16.283333333333335,29.10951893551689,0,0,2,0,62.541666666666664,long
1,2019-05-01 00:45:49,2019-05-01 01:03:42,0,3.5,164,239,13.0,18.8,17.883333333333333,11.742777260018638,0,0,2,0,44.61538461538462,medium
2,2019-05-01 00:06:52,2019-05-01 00:12:43,2,1.23,231,87,6.0,11.76,5.85,12.615384615384617,0,0,2,0,96.0,medium
2,2019-05-01 00:41:03,2019-05-01 00:47:07,1,1.13,231,209,6.0,11.76,6.066666666666666,11.175824175824175,0,0,2,0,96.0,medium
1,2019-05-01 00:03:07,2019-05-01 00:34:00,1,12.2,138,40,37.5,46.55,30.883333333333333,23.702104695089044,0,0,2,0,24.133333333333326,long
2,2019-05-01 00:26:01,2019-05-01 00:30:45,1,1.12,68,90,5.5,11.16,4.733333333333333,14.197183098591552,0,0,2,0,102.9090909090909,medium
2,2019-05-01 00:09:09,2019-05-01 00:38:40,1,21.03,132,261,52.0,66.36,29.516666666666666,42.748729531338235,0,0,2,0,27.615384615384613,long
2,2019-05-01 00:53:17,2019-05-01 01:05:08,1,4.56,232,25,15.5,19.3,11.85,23.088607594936708,0,0,2,0,24.516129032258068,medium
2,2019-05-01 00:19:27,2019-05-01 00:56:11,1,4.29,48,226,24.0,31.8,36.733333333333334,7.007259528130672,0,0,2,0,32.5,medium
1,2019-05-01 00:17:13,2019-05-01 00:28:42,1,5.4,239,244,17.0,21.8,11.483333333333333,28.21480406386067,0,0,2,0,28.235294117647065,long
1,2019-05-01 00:30:06,2019-05-01 00:49:07,1,3.8,244,18,16.0,18.3,19.016666666666666,11.98948290972831,0,0,2,0,14.375000000000004,medium
1,2019-05-01 00:44:30,2019-05-01 01:01:18,1,4.0,125,189,15.0,22.55,16.8,14.285714285714285,0,0,2,0,50.33333333333334,medium
1,2019-05-01 00:18:33,2019-05-01 00:26:51,1,1.2,230,186,7.0,12.95,8.3,8.674698795180722,0,0,2,0,84.99999999999999,medium
1,2019-05-01 00:51:01,2019-05-01 01:09:28,1,4.2,234,238,16.0,19.8,18.45,13.658536585365855,0,0,2,0,23.750000000000004,medium
1,2019-05-01 00:10:27,2019-05-01 00:14:41,1,1.4,90,125,6.0,9.8,4.233333333333333,19.84251968503937,0,0,2,0,63.33333333333334,medium
1,2019-05-01 00:31:05,2019-05-01 00:53:44,1,14.9,132,7,40.5,52.2,22.65,39.47019867549669,0,0,2,0,28.888888888888896,long
